Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1987,Motor Elite 8,100,61,0.61,3,03 - 14 - 21 - 45 - 54 - 58,10 - 14 - 31 - 34 - 45 - 58,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
1988,Aleatorio,100,64,0.64,2,04 - 09 - 10 - 29 - 36 - 54,05 - 10 - 39 - 42 - 46 - 54,14,14.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,Motor Elite 7,100,57,0.57,3,03 - 05 - 22 - 42 - 46 - 52,05 - 10 - 39 - 42 - 46 - 54,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1988,Motor Elite 8,100,60,0.6,3,10 - 17 - 25 - 36 - 39 - 46,05 - 10 - 39 - 42 - 46 - 54,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
1989,Aleatorio,100,65,0.65,4,05 - 15 - 20 - 22 - 32 - 40,15 - 22 - 30 - 32 - 40 - 58,9,9.0,2,2.0,1,1.0,0,0.0,0,0.0
1989,Motor Elite 7,100,50,0.5,2,02 - 17 - 22 - 40 - 41 - 57,15 - 22 - 30 - 32 - 40 - 58,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
1989,Motor Elite 8,100,61,0.61,2,12 - 15 - 22 - 35 - 44 - 59,15 - 22 - 30 - 32 - 40 - 58,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
1990,Aleatorio,100,50,0.5,2,10 - 11 - 14 - 15 - 34 - 51,11 - 24 - 26 - 34 - 37 - 59,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1990,Motor Elite 7,100,62,0.62,3,04 - 19 - 28 - 34 - 37 - 59,11 - 24 - 26 - 34 - 37 - 59,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
1990,Motor Elite 8,100,64,0.64,3,01 - 11 - 26 - 34 - 42 - 51,11 - 24 - 26 - 34 - 37 - 59,9,9.0,3,3.0,0,0.0,0,0.0,0,0.0
1991,Aleatorio,100,66,0.66,3,10 - 16 - 28 - 36 - 44 - 58,19 - 20 - 28 - 34 - 36 - 44,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1991,Motor Elite 7,100,91,0.91,4,15 - 20 - 27 - 34 - 36 - 44,19 - 20 - 28 - 34 - 36 - 44,14,14.0,5,5.0,2,2.0,0,0.0,0,0.0
1991,Motor Elite 8,100,61,0.61,3,05 - 19 - 20 - 24 - 36 - 57,19 - 20 - 28 - 34 - 36 - 44,10,10.0,2,2.0,0,0.0,0,0.0,0,0.0
1992,Aleatorio,100,49,0.49,2,03 - 21 - 32 - 54 - 55 - 57,05 - 11 - 13 - 21 - 53 - 54,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0
1992,Motor Elite 7,100,52,0.52,3,05 - 10 - 19 - 21 - 44 - 54,05 - 11 - 13 - 21 - 53 - 54,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
1992,Motor Elite 8,100,56,0.56,2,03 - 14 - 21 - 45 - 54 - 58,05 - 11 - 13 - 21 - 53 - 54,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
