Ranking,Jogo,Score premiacao,Score pico,Score diversidade,Score final,Soma,Pares,Impares,Faixas
37,05 - 09 - 11 - 16 - 24 - 57,728.0,1403.0,67.8681,898.9802,122,2,4,2 / 2 / 1 / 0 / 0 / 1
38,02 - 10 - 23 - 34 - 53 - 57,725.0,1400.0,82.6081,898.6412,179,3,3,2 / 0 / 1 / 1 / 0 / 2
39,03 - 07 - 10 - 11 - 46 - 60,727.0,1397.0,77.8421,897.6263,137,3,3,3 / 1 / 0 / 0 / 1 / 1
40,10 - 13 - 25 - 27 - 42 - 46,729.0,1374.0,80.9103,889.7865,163,3,3,1 / 1 / 2 / 0 / 2 / 0
41,04 - 30 - 35 - 38 - 41 - 56,722.0,1377.0,87.6521,888.8478,204,4,2,1 / 0 / 1 / 2 / 1 / 1
42,09 - 16 - 28 - 37 - 43 - 57,717.0,1382.0,87.1118,888.5168,190,2,4,1 / 1 / 1 / 1 / 1 / 1
43,14 - 22 - 29 - 35 - 46 - 60,723.0,1373.0,83.1944,887.0292,206,4,2,0 / 1 / 2 / 1 / 1 / 1
44,20 - 24 - 35 - 37 - 38 - 50,719.0,1379.0,81.6764,887.4015,204,4,2,0 / 1 / 1 / 3 / 1 / 0
45,12 - 14 - 28 - 36 - 45 - 55,712.0,1382.0,91.9223,886.9883,190,4,2,0 / 2 / 1 / 1 / 1 / 1
46,01 - 10 - 17 - 30 - 48 - 53,709.0,1364.0,89.1889,878.0283,159,3,3,2 / 1 / 1 / 0 / 1 / 1
47,06 - 07 - 25 - 26 - 37 - 57,694.0,1334.0,84.6196,858.5929,158,2,4,2 / 0 / 2 / 1 / 0 / 1
48,04 - 30 - 35 - 38 - 43 - 57,690.0,1305.0,89.0035,845.8505,207,3,3,1 / 0 / 1 / 2 / 1 / 1
49,01 - 10 - 17 - 30 - 43 - 53,651.0,1231.0,78.316,797.0974,154,2,4,2 / 1 / 1 / 0 / 1 / 1
50,10 - 11 - 13 - 37 - 38 - 60,396.0,861.0,81.0,534.75,169,3,3,1 / 2 / 0 / 2 / 0 / 1
51,10 - 11 - 13 - 25 - 46 - 54,373.0,778.0,85.5333,491.88,159,3,3,1 / 2 / 1 / 0 / 1 / 1
52,10 - 11 - 25 - 27 - 46 - 60,359.0,749.0,85.4853,473.9728,179,3,3,1 / 1 / 2 / 0 / 1 / 1
