Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2853,Aleatorio,100,57,0.57,2,04 - 21 - 44 - 51 - 52 - 53,04 - 18 - 23 - 48 - 53 - 56,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2854,Motor Elite 7,100,32,0.32,2,08 - 13 - 33 - 40 - 43 - 44,02 - 13 - 16 - 31 - 44 - 55,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
2854,Aleatorio,100,62,0.62,3,02 - 13 - 14 - 16 - 35 - 41,02 - 13 - 16 - 31 - 44 - 55,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2855,Motor Elite 7,100,65,0.65,3,12 - 15 - 24 - 31 - 33 - 52,12 - 16 - 24 - 31 - 51 - 55,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2855,Aleatorio,100,61,0.61,3,12 - 16 - 22 - 39 - 48 - 55,12 - 16 - 24 - 31 - 51 - 55,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2856,Motor Elite 7,100,67,0.67,2,05 - 12 - 13 - 38 - 51 - 54,03 - 05 - 10 - 27 - 38 - 48,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
2856,Aleatorio,100,73,0.73,3,03 - 10 - 27 - 30 - 33 - 60,03 - 05 - 10 - 27 - 38 - 48,13,13.0,2,2.0,0,0.0,0,0.0,0,0.0
2857,Motor Elite 7,100,56,0.56,3,01 - 18 - 24 - 38 - 41 - 58,02 - 18 - 28 - 38 - 41 - 50,5,5.0,1,1.0,0,0.0,0,0.0,0,0.0
2857,Aleatorio,100,70,0.7,3,02 - 18 - 21 - 41 - 45 - 54,02 - 18 - 28 - 38 - 41 - 50,10,10.0,3,3.0,0,0.0,0,0.0,0,0.0
2858,Motor Elite 7,100,48,0.48,2,01 - 18 - 20 - 30 - 33 - 48,08 - 18 - 27 - 28 - 48 - 52,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2858,Aleatorio,100,69,0.69,3,18 - 28 - 41 - 42 - 46 - 48,08 - 18 - 27 - 28 - 48 - 52,15,15.0,1,1.0,0,0.0,0,0.0,0,0.0
