Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Score total premiacao,Score medio premiacao por jogo,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1974,Motor Elite 9,100,65,0.65,3,04 - 27 - 35 - 38 - 52 - 56,04 - 19 - 27 - 38 - 54 - 57,19,0.19,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1975,Aleatorio,100,53,0.53,2,09 - 24 - 26 - 29 - 32 - 60,08 - 11 - 24 - 26 - 47 - 57,9,0.09,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
1975,Motor Elite 9,100,57,0.57,3,09 - 11 - 16 - 24 - 43 - 57,08 - 11 - 24 - 26 - 47 - 57,25,0.25,5,5.0,4,4.0,0,0.0,0,0.0,0,0.0
1976,Aleatorio,100,55,0.55,3,05 - 12 - 14 - 19 - 26 - 33,12 - 14 - 19 - 25 - 52 - 59,19,0.19,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1976,Motor Elite 9,100,44,0.44,2,04 - 29 - 30 - 43 - 52 - 59,12 - 14 - 19 - 25 - 52 - 59,4,0.04,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
1977,Aleatorio,100,58,0.58,4,16 - 23 - 28 - 32 - 34 - 42,03 - 16 - 28 - 32 - 34 - 37,55,0.55,5,5.0,0,0.0,1,1.0,0,0.0,0,0.0
1977,Motor Elite 9,100,43,0.43,3,09 - 16 - 28 - 37 - 43 - 57,03 - 16 - 28 - 32 - 34 - 37,7,0.07,2,2.0,1,1.0,0,0.0,0,0.0,0,0.0
1978,Aleatorio,100,62,0.62,3,06 - 22 - 29 - 33 - 48 - 55,02 - 06 - 22 - 44 - 55 - 57,13,0.13,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
1978,Motor Elite 9,100,48,0.48,3,02 - 13 - 19 - 32 - 44 - 57,02 - 06 - 22 - 44 - 55 - 57,12,0.12,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1979,Aleatorio,100,73,0.73,3,31 - 32 - 38 - 45 - 52 - 59,22 - 23 - 29 - 32 - 38 - 45,28,0.28,13,13.0,3,3.0,0,0.0,0,0.0,0,0.0
